[20170113064831.827]0x00000002: 20170113064831.827, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064832.823]0x00000002: 20170113064832.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064833.825]0x00000002: 20170113064833.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064834.823]0x00000002: 20170113064834.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064835.827]0x00000002: 20170113064835.827, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064836.823]0x00000002: 20170113064836.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064837.827]0x00000002: 20170113064837.827, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064838.823]0x00000002: 20170113064838.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064839.825]0x00000002: 20170113064839.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064840.823]0x00000002: 20170113064840.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064841.826]0x00000002: 20170113064841.826, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064842.823]0x00000002: 20170113064842.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064843.825]0x00000002: 20170113064843.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064844.823]0x00000002: 20170113064844.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064845.823]0x00000002: 20170113064845.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064846.825]0x00000002: 20170113064846.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064847.826]0x00000002: 20170113064847.826, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064848.825]0x00000002: 20170113064848.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064849.825]0x00000002: 20170113064849.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064850.825]0x00000002: 20170113064850.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064851.821]0x00000002: 20170113064851.821, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064852.825]0x00000002: 20170113064852.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064853.826]0x00000002: 20170113064853.826, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064854.825]0x00000002: 20170113064854.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064855.825]0x00000002: 20170113064855.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064856.825]0x00000002: 20170113064856.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064857.823]0x00000002: 20170113064857.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064858.823]0x00000002: 20170113064858.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064859.826]0x00000002: 20170113064859.826, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064900.823]0x00000002: 20170113064900.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064901.827]0x00000002: 20170113064901.827, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064902.823]0x00000002: 20170113064902.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064903.825]0x00000002: 20170113064903.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064904.823]0x00000002: 20170113064904.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064905.826]0x00000002: 20170113064905.826, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064906.823]0x00000002: 20170113064906.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064907.826]0x00000002: 20170113064907.826, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064908.823]0x00000002: 20170113064908.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064909.825]0x00000002: 20170113064909.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064910.821]0x00000002: 20170113064910.821, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064911.826]0x00000002: 20170113064911.826, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064912.823]0x00000002: 20170113064912.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064913.825]0x00000002: 20170113064913.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064914.823]0x00000002: 20170113064914.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064915.823]0x00000002: 20170113064915.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064916.825]0x00000002: 20170113064916.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064917.826]0x00000002: 20170113064917.826, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064918.825]0x00000002: 20170113064918.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064919.825]0x00000002: 20170113064919.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064920.825]0x00000002: 20170113064920.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064921.823]0x00000002: 20170113064921.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064922.825]0x00000002: 20170113064922.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064923.826]0x00000002: 20170113064923.826, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064924.825]0x00000002: 20170113064924.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064925.825]0x00000002: 20170113064925.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064926.825]0x00000002: 20170113064926.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064927.823]0x00000002: 20170113064927.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
